scenario,n,method,exact_recovery,jaccard,se
one binary truth,60,mucke_ksg,0.03333333333333333,0.4033333333333333,0.023174059571793568
one binary truth,100,mucke_hist10,0.0,0.30499999999999994,0.0
one binary truth,100,mucke_mm_quantile4,0.35,0.62,0.06157651067303722
one binary truth,100,mucke_permutation,0.38333333333333336,0.6416666666666667,0.06276794416591017
one binary truth,100,mucke_expected,0.3333333333333333,0.6166666666666668,0.06085806194501846
one binary truth,100,rank,0.5,0.725,0.06454972243679027
one binary truth,100,anova_topk,0.5,0.745,0.06454972243679027
one binary truth,100,mucke_ksg,0.2833333333333333,0.5433333333333333,0.05817438662555248
one binary truth,200,mucke_hist10,0.0,0.445,0.0
one binary truth,200,mucke_mm_quantile4,0.6833333333333333,0.8366666666666667,0.06005398805642704
one binary truth,200,mucke_permutation,0.7,0.84,0.05916079783099616
one binary truth,200,mucke_expected,0.6833333333333333,0.8366666666666667,0.06005398805642704
one binary truth,200,rank,0.9166666666666666,0.9583333333333334,0.035681201607403144
one binary truth,200,anova_topk,0.7666666666666667,0.8833333333333333,0.054602943890247176
one binary truth,200,mucke_ksg,0.23333333333333334,0.56,0.054602943890247176
one binary truth,300,mucke_hist10,0.0,0.49,0.0
one binary truth,300,mucke_mm_quantile4,0.9333333333333333,0.9666666666666667,0.032203059435976525
one binary truth,300,mucke_permutation,0.9333333333333333,0.9666666666666667,0.032203059435976525
one binary truth,300,mucke_expected,0.9333333333333333,0.9666666666666667,0.032203059435976525
one binary truth,300,rank,0.9666666666666667,0.9833333333333333,0.023174059571793564
one binary truth,300,anova_topk,0.9,0.95,0.03872983346207417
one binary truth,300,mucke_ksg,0.2833333333333333,0.6116666666666667,0.05817438662555248
one binary truth,500,mucke_hist10,0.0,0.5,0.0
one binary truth,500,mucke_mm_quantile4,0.9666666666666667,0.9833333333333333,0.023174059571793564
one binary truth,500,mucke_permutation,0.9833333333333333,0.9916666666666667,0.016527194200715044
one binary truth,500,mucke_expected,0.9666666666666667,0.9833333333333333,0.023174059571793564
one binary truth,500,rank,1.0,1.0,0.0
one binary truth,500,anova_topk,0.8166666666666667,0.9083333333333333,0.04995368225036439
one binary truth,500,mucke_ksg,0.45,0.6950000000000001,0.06422616289332565
